Document,Revision,Status,Units,Datum_A,Datum_B,Datum_C,Reference,X_mm,Y_mm,Support_Z_mm,Boss_OD_mm,Boss_height_mm,Pilot_diameter_mm,Pilot_tolerance_mm,Pilot_depth_min_mm,Insert_candidate,Screw,Axis_position_tolerance,Notes
BRMC-MECH-EVT-010,A,HOLD_NOT_RELEASED,mm,Interior floor top Z=3.0,Enclosure centerplane X=0,PCB centerplane Y=57.5,H1,-103,25.5,8.0,10.0,5.0,3.99,+0.08/-0.00,4.10,SPIROL 29M3-3.56 item 151032,M3x0.5,diameter 0.30 to A-B-C,Candidate only
BRMC-MECH-EVT-010,A,HOLD_NOT_RELEASED,mm,Interior floor top Z=3.0,Enclosure centerplane X=0,PCB centerplane Y=57.5,H2,0,25.5,8.0,10.0,5.0,3.99,+0.08/-0.00,4.10,SPIROL 29M3-3.56 item 151032,M3x0.5,diameter 0.30 to A-B-C,Candidate only
BRMC-MECH-EVT-010,A,HOLD_NOT_RELEASED,mm,Interior floor top Z=3.0,Enclosure centerplane X=0,PCB centerplane Y=57.5,H3,103,25.5,8.0,10.0,5.0,3.99,+0.08/-0.00,4.10,SPIROL 29M3-3.56 item 151032,M3x0.5,diameter 0.30 to A-B-C,Candidate only
BRMC-MECH-EVT-010,A,HOLD_NOT_RELEASED,mm,Interior floor top Z=3.0,Enclosure centerplane X=0,PCB centerplane Y=57.5,H4,-103,89.5,8.0,10.0,5.0,3.99,+0.08/-0.00,4.10,SPIROL 29M3-3.56 item 151032,M3x0.5,diameter 0.30 to A-B-C,Candidate only
BRMC-MECH-EVT-010,A,HOLD_NOT_RELEASED,mm,Interior floor top Z=3.0,Enclosure centerplane X=0,PCB centerplane Y=57.5,H5,0,89.5,8.0,10.0,5.0,3.99,+0.08/-0.00,4.10,SPIROL 29M3-3.56 item 151032,M3x0.5,diameter 0.30 to A-B-C,Candidate only
BRMC-MECH-EVT-010,A,HOLD_NOT_RELEASED,mm,Interior floor top Z=3.0,Enclosure centerplane X=0,PCB centerplane Y=57.5,H6,103,89.5,8.0,10.0,5.0,3.99,+0.08/-0.00,4.10,SPIROL 29M3-3.56 item 151032,M3x0.5,diameter 0.30 to A-B-C,Candidate only
